plot_number,map_area_sqm,recorded_area_sqm,pot_kharaba_sqm,expected_area_sqm,area_ratio,classification
1024,26579.2,19900.0,2700.0,22600.0,1.176070796460177,placement
1025,8520.0,8500.0,900.0,9400.0,0.9063829787234042,placement
1026,23165.7,23100.0,1600.0,24700.0,0.9378825910931174,placement
1027,20334.8,20800.0,1800.0,22600.0,0.8997699115044248,placement
1028,2162.8,1600.0,200.0,1800.0,1.2015555555555557,uncertain
1029,26580.6,24100.0,200.0,24300.0,1.0938518518518519,placement
103,16168.8,12500.0,0.0,12500.0,1.293504,uncertain
1030,21245.5,19500.0,500.0,20000.0,1.062275,placement
1031,108694.9,70900.0,9500.0,80400.0,1.3519266169154227,uncertain
1032,5281.9,4900.0,0.0,4900.0,1.0779387755102041,placement
1033,10488.7,10300.0,0.0,10300.0,1.0183203883495147,placement
1034,9330.0,8000.0,0.0,8000.0,1.16625,placement
1035,41202.3,35800.0,4900.0,40700.0,1.0123415233415234,placement
1036,54890.3,53000.0,700.0000000000001,53700.0,1.0221657355679703,placement
1037,59075.5,53200.0,1000.0,54200.0,1.0899538745387454,placement
1038,55024.7,62700.0,300.0,63000.0,0.8734079365079365,placement
1039,53875.9,50500.0,3500.0,54000.0,0.9977018518518519,placement
104,22282.8,21100.0,1300.0,22400.0,0.9947678571428571,placement
1040,98582.7,101200.0,700.0000000000001,101900.0,0.9674455348380765,placement
1041,5581.1,7900.0,0.0,7900.0,0.7064683544303798,uncertain
1042,3266.7,3000.0,0.0,3000.0,1.0889,placement
1043,681.7,200.0,0.0,200.0,3.4085,area_error
1044,6234.0,7400.0,100.0,7500.0,0.8312,placement
1045,8012.1,7300.0,100.0,7400.0,1.0827162162162163,placement
1046,29503.0,32700.0,200.0,32900.0,0.8967477203647416,placement
1047,17918.8,19400.0,100.0,19500.0,0.9189128205128205,placement
1048,20649.3,19600.0,50.0,19650.0,1.050854961832061,placement
1049,42654.1,42800.0,700.0000000000001,43500.0,0.9805540229885057,placement
105,11415.4,9800.0,1000.0,10800.0,1.0569814814814815,placement
1050,23092.7,20100.0,900.0,21000.0,1.099652380952381,placement
1051,22901.3,18100.0,0.0,18100.0,1.2652651933701657,uncertain
1052,13691.9,23900.0,0.0,23900.0,0.5728828451882845,area_error
1053,13854.1,16400.0,0.0,16400.0,0.8447621951219513,placement
1054,33814.8,38500.0,0.0,38500.0,0.8783064935064936,placement
1055,10126.1,10300.0,0.0,10300.0,0.983116504854369,placement
1056,8739.0,9500.0,0.0,9500.0,0.9198947368421052,placement
1057,24788.0,23100.0,100.0,23200.0,1.068448275862069,placement
1058,32473.0,31200.0,200.0,31400.0,1.034171974522293,placement
1059,22993.9,24700.0,200.0,24900.0,0.9234497991967872,placement
106,4681.5,3100.0,1000.0,4100.0,1.141829268292683,placement
1060,3253.1,2800.0,0.0,2800.0,1.1618214285714286,placement
1061,8912.9,10000.0,0.0,10000.0,0.8912899999999999,placement
1062,31617.4,31000.0,150.0,31150.0,1.0150048154093099,placement
1063,24832.6,25900.0,0.0,25900.0,0.9587876447876448,placement
1064,43369.2,39300.0,150.0,39450.0,1.0993460076045627,placement
1065,5007.4,4500.0,100.0,4600.0,1.0885652173913043,placement
1066,18807.4,20100.0,0.0,20100.0,0.9356915422885573,placement
1067,3831.6,4800.0,0.0,4800.0,0.79825,uncertain
1068,11831.6,15000.0,100.0,15100.0,0.7835496688741722,uncertain
1069,55348.7,56200.0,2700.0,58900.0,0.9397062818336163,placement
107,17744.1,16400.0,1900.0,18300.0,0.9696229508196721,placement
1070,27828.7,28900.0,300.0,29200.0,0.9530376712328767,placement
1071,20540.2,23600.0,200.0,23800.0,0.8630336134453782,placement
1072,16688.9,16300.0,1600.0,17900.0,0.932340782122905,placement
1073,2185.1,0.0,2600.0,2600.0,0.8404230769230769,placement
1074,1895.0,2400.0,0.0,2400.0,0.7895833333333333,uncertain
1075,34341.1,34100.0,100.0,34200.0,1.004125730994152,placement
1076,4408.4,14500.0,100.0,14600.0,0.30194520547945203,area_error
1077,16760.1,17200.0,100.0,17300.0,0.9687919075144508,placement
1078/A,8080.8,4500.0,0.0,4500.0,1.7957333333333334,area_error
1078/B,5499.9,4500.0,0.0,4500.0,1.2222,uncertain
1079,511.5,500.0,0.0,500.0,1.023,placement
108,5483.2,5500.0,1500.0,7000.0,0.7833142857142857,uncertain
1080,17847.9,17900.0,0.0,17900.0,0.9970893854748604,placement
1081,7327.9,7400.0,0.0,7400.0,0.9902567567567567,placement
1082,8790.2,9000.0,0.0,9000.0,0.9766888888888889,placement
1083,18450.4,20000.0,0.0,20000.0,0.9225200000000001,placement
1084,8471.7,8900.0,0.0,8900.0,0.9518764044943822,placement
1085,9305.4,11400.0,0.0,11400.0,0.8162631578947368,placement
1086,1539.3,2000.0,0.0,2000.0,0.76965,uncertain
1087,15246.8,14900.0,0.0,14900.0,1.0232751677852348,placement
1088,19257.0,21100.0,300.0,21400.0,0.8998598130841121,placement
1089,14808.4,13800.0,100.0,13900.0,1.0653525179856116,placement
109,8970.9,2800.0,700.0000000000001,3500.0,2.5631142857142857,area_error
1090,17050.6,15900.0,100.0,16000.0,1.0656625,placement
1091,4953.2,4500.0,0.0,4500.0,1.100711111111111,placement
1092,3804.7,4500.0,0.0,4500.0,0.8454888888888888,placement
1093,18455.8,19800.0,200.0,20000.0,0.92279,placement
1094,13981.0,14300.0,0.0,14300.0,0.9776923076923076,placement
1095,9563.8,9100.0,100.0,9200.0,1.0395434782608695,placement
1096,5394.3,5900.0,0.0,5900.0,0.9142881355932204,placement
1097,3668.9,2000.0,0.0,2000.0,1.8344500000000001,area_error
1098,5308.9,0.0,2550.0,2550.0,2.081921568627451,area_error
1099,2829.4,0.0,2500.0,2500.0,1.13176,placement
11,1800.6,2300.0,0.0,2300.0,0.7828695652173913,uncertain
110,929.8,16500.0,0.0,16500.0,0.056351515151515146,area_error
1100,13273.3,18400.0,200.0,18600.0,0.7136182795698924,uncertain
1101,6893.3,7300.0,100.0,7400.0,0.931527027027027,placement
1102,6906.3,7400.0,0.0,7400.0,0.9332837837837838,placement
1103,14034.1,14500.0,200.0,14700.0,0.9547006802721089,placement
1104,12864.9,13600.0,100.0,13700.0,0.9390437956204379,placement
1105,18773.8,23800.0,200.0,24000.0,0.7822416666666666,uncertain
1106,16120.7,13500.0,100.0,13600.0,1.1853455882352941,placement
1107,9087.2,8600.0,0.0,8600.0,1.0566511627906978,placement
1108,6900.8,6800.0,0.0,6800.0,1.0148235294117647,placement
1109,5327.0,5200.0,0.0,5200.0,1.0244230769230769,placement
111,28214.3,300.0,300.0,600.0,47.02383333333333,area_error
1110/A,10974.1,26000.0,500.0,26500.0,0.4141169811320755,area_error
1110/B,10448.4,26000.0,500.0,26500.0,0.39427924528301883,area_error
1111,15689.0,15800.0,200.0,16000.0,0.9805625,placement
1112,42432.1,42000.0,400.0,42400.0,1.0007570754716981,placement
1113,10557.5,10800.0,0.0,10800.0,0.9775462962962963,placement
1114,13986.9,12400.0,400.0,12800.0,1.0927265625,placement
1115,10161.7,11100.0,100.0,11200.0,0.9072946428571429,placement
1116,9981.0,10000.0,200.0,10200.0,0.9785294117647059,placement
1117,8878.1,9200.0,0.0,9200.0,0.9650108695652174,placement
1118,10894.5,13700.0,100.0,13800.0,0.7894565217391304,uncertain
1119,22586.9,22400.0,1000.0,23400.0,0.9652521367521368,placement
112,15368.8,7200.0,800.0,8000.0,1.9210999999999998,area_error
1120,19172.1,16900.0,1300.0,18200.0,1.0534120879120878,placement
1121,3331.4,0.0,2400.0,2400.0,1.3880833333333333,uncertain
1122,4367.4,5000.0,400.0,5400.0,0.8087777777777777,placement
1123,20400.1,20900.0,0.0,20900.0,0.9760813397129185,placement
1124/A,22167.2,27600.0,0.0,27600.0,0.8031594202898551,placement
1124/B,7474.0,27600.0,0.0,27600.0,0.2707971014492754,area_error
1125,34711.5,36600.0,0.0,36600.0,0.9484016393442622,placement
1126,7801.4,8000.0,200.0,8200.0,0.951390243902439,placement
1127,494.1,100.0,0.0,100.0,4.941,area_error
1128,577.1,400.0,0.0,400.0,1.44275,uncertain
113,11255.9,10900.0,500.0,11400.0,0.9873596491228069,placement
1130,3939.4,4200.0,100.0,4300.0,0.9161395348837209,placement
1131,5288.5,6100.0,300.0,6400.0,0.826328125,placement
1132,2715.9,2400.0,0.0,2400.0,1.131625,placement
1133,1650.9,1700.0,0.0,1700.0,0.9711176470588235,placement
1134,2125.6,2400.0,0.0,2400.0,0.8856666666666666,placement
1135,4008.1,4000.0,0.0,4000.0,1.002025,placement
1136,7560.6,7600.0,200.0,7800.0,0.9693076923076923,placement
1137,5369.2,5100.0,0.0,5100.0,1.0527843137254902,placement
1138,1574.2,2500.0,0.0,2500.0,0.62968,uncertain
1139,1700.7,1400.0,0.0,1400.0,1.2147857142857144,uncertain
114,10678.2,9500.0,1300.0,10800.0,0.9887222222222223,placement
1140,2774.6,2400.0,0.0,2400.0,1.1560833333333334,placement
1141,2830.1,2400.0,0.0,2400.0,1.1792083333333332,placement
1142,2317.7,2200.0,0.0,2200.0,1.0534999999999999,placement
1143,3476.6,3800.0,0.0,3800.0,0.9148947368421052,placement
1144,1496.6,1600.0,0.0,1600.0,0.935375,placement
1145,2335.3,2400.0,0.0,2400.0,0.9730416666666667,placement
1146,1627.7,2400.0,0.0,2400.0,0.6782083333333333,uncertain
1147,2255.5,2000.0,0.0,2000.0,1.12775,placement
1148,1533.9,2200.0,0.0,2200.0,0.6972272727272728,uncertain
1149,1722.0,2400.0,0.0,2400.0,0.7175,uncertain
115,12879.0,12500.0,3900.0,16400.0,0.7853048780487805,uncertain
1150,3207.6,4000.0,50.0,4050.0,0.7919999999999999,uncertain
1151,2568.6,7199.0,0.0,7199.0,0.3567995554938186,area_error
1152,3522.3,2800.0,0.0,2800.0,1.2579642857142859,uncertain
1153,1540.8,1800.0,0.0,1800.0,0.856,placement
1154,1849.4,1700.0,0.0,1700.0,1.0878823529411765,placement
1156,6501.5,7200.0,100.0,7300.0,0.8906164383561643,placement
1157,1620.7,0.0,1300.0,1300.0,1.2466923076923078,uncertain
1158,939.7,0.0,1300.0,1300.0,0.7228461538461539,uncertain
1159,10640.1,10900.0,0.0,10900.0,0.9761559633027523,placement
116,9452.5,6000.0,2600.0,8600.0,1.0991279069767441,placement
1160,5129.7,0.0,4500.0,4500.0,1.1399333333333332,placement
1161,6413.5,3800.0,400.0,4200.0,1.5270238095238096,area_error
1162,3882.6,2700.0,300.0,3000.0,1.2942,uncertain
1163,1171.4,1400.0,100.0,1500.0,0.7809333333333334,uncertain
1164,2283.6,1500.0,200.0,1700.0,1.3432941176470587,uncertain
1165,16142.6,16100.0,0.0,16100.0,1.0026459627329192,placement
1166,1327.9,24600.0,500.0,25100.0,0.052904382470119526,area_error
1167,69851.2,700.0,0.0,700.0,99.78742857142856,area_error
1168,1182.5,1000.0,0.0,1000.0,1.1825,placement
1169,1238.2,17600.0,600.0,18200.0,0.06803296703296703,area_error
117,11033.4,7900.0,2600.0,10500.0,1.0508,placement
1173,13430.6,14500.0,0.0,14500.0,0.926248275862069,placement
1174,3227.5,3700.0,0.0,3700.0,0.8722972972972973,placement
1175,3098.6,2700.0,600.0,3300.0,0.9389696969696969,placement
1176,3743.6,4200.0,0.0,4200.0,0.8913333333333333,placement
1177,3536.4,3100.0,0.0,3100.0,1.140774193548387,placement
1178,1677.4,1500.0,0.0,1500.0,1.1182666666666667,placement
1179,3634.3,3500.0,300.0,3800.0,0.9563947368421053,placement
118,8840.8,5900.0,600.0,6500.0,1.3601230769230768,uncertain
1180,3042.8,3600.0,200.0,3800.0,0.8007368421052632,placement
1181,4964.9,5900.0,100.0,6000.0,0.8274833333333332,placement
1182,6383.2,6800.0,500.0,7300.0,0.8744109589041096,placement
1183,17406.9,13600.0,1200.0,14800.0,1.176141891891892,placement
1184,23548.9,20600.0,2400.0,23000.0,1.0238652173913043,placement
1185,3298.0,3200.0,0.0,3200.0,1.030625,placement
1186,2715.2,3300.0,0.0,3300.0,0.8227878787878787,placement
1187,4435.1,3600.0,0.0,3600.0,1.2319722222222222,uncertain
1188,3399.9,3100.0,0.0,3100.0,1.096741935483871,placement
1189,12464.6,15000.0,100.0,15100.0,0.8254701986754968,placement
119,6778.9,5900.0,600.0,6500.0,1.0429076923076923,placement
1190,5801.7,6750.0,100.0,6850.0,0.846963503649635,placement
1191,5114.1,5500.0,100.0,5600.0,0.9132321428571429,placement
1192,5392.9,7150.0,100.0,7250.0,0.7438482758620689,uncertain
1193,4496.6,5550.0,100.0,5650.0,0.7958584070796461,uncertain
1194,12777.5,12700.0,500.0,13200.0,0.9679924242424243,placement
1195,15862.6,15400.0,800.0,16200.0,0.9791728395061728,placement
1196,10753.7,8300.0,500.0,8800.0,1.2220113636363636,uncertain
1197,7307.6,7200.0,0.0,7200.0,1.0149444444444444,placement
1198,77723.3,78450.0,1500.0,79950.0,0.9721488430268919,placement
1199,1958.8,0.0,2500.0,2500.0,0.78352,uncertain
12,4179.5,3800.0,0.0,3800.0,1.0998684210526315,placement
120,11771.8,6500.0,4500.0,11000.0,1.0701636363636362,placement
1200,22681.8,23900.0,300.0,24200.0,0.9372644628099174,placement
1201,23265.9,23200.0,0.0,23200.0,1.0028405172413795,placement
1202,2457.0,0.0,2500.0,2500.0,0.9828,placement
1203,19524.0,17600.0,2000.0,19600.0,0.9961224489795918,placement
1204,8753.1,8500.0,0.0,8500.0,1.0297764705882353,placement
1205,2435.8,0.0,5100.0,5100.0,0.47760784313725496,area_error
1206,12047.1,8900.0,400.0,9300.0,1.2953870967741936,uncertain
1207,63951.2,68737.0,300.0,69037.0,0.9263322566160175,placement
1208,6237.7,8600.0,100.0,8700.0,0.7169770114942529,uncertain
1209,4921.6,3900.0,100.0,4000.0,1.2304000000000002,uncertain
121,12258.1,12900.0,1900.0,14800.0,0.82825,placement
1210,5129.3,3900.0,100.0,4000.0,1.282325,uncertain
1211,14325.2,13600.0,200.0,13800.0,1.0380579710144928,placement
1212,9155.0,11400.0,200.0,11600.0,0.7892241379310345,uncertain
1213,17804.6,19000.0,400.0,19400.0,0.917762886597938,placement
1214,9249.1,10200.0,100.0,10300.0,0.8979708737864078,placement
1215,10197.5,8100.0,100.0,8200.0,1.2435975609756098,uncertain
1216,5383.2,4900.0,100.0,5000.0,1.07664,placement
1217,3717.0,4300.0,0.0,4300.0,0.8644186046511628,placement
1218,5843.6,4900.0,0.0,4900.0,1.1925714285714286,placement
1219,6050.1,5700.0,100.0,5800.0,1.0431206896551726,placement
122,8824.6,8300.0,800.0,9100.0,0.9697362637362638,placement
1220,2905.0,3100.0,100.0,3200.0,0.9078125,placement
1221,2881.0,3700.0,100.0,3800.0,0.7581578947368421,uncertain
1222,1684.6,1100.0,100.0,1200.0,1.4038333333333333,uncertain
1223,2197.7,1500.0,100.0,1600.0,1.3735624999999998,uncertain
1224,1591.1,1300.0,0.0,1300.0,1.223923076923077,uncertain
1225,645.2,0.0,300.0,300.0,2.150666666666667,area_error
1226,4751.5,0.0,400.0,400.0,11.87875,area_error
1227,1500.9,700.0,0.0,700.0,2.144142857142857,area_error
1228,3351.9,2300.0,0.0,2300.0,1.4573478260869566,uncertain
1229,3005.1,16100.0,200.0,16300.0,0.18436196319018405,area_error
123,10589.2,9400.0,1700.0000000000002,11100.0,0.953981981981982,placement
1230,9127.3,11000.0,0.0,11000.0,0.8297545454545454,placement
1231,742.8,200.0,100.0,300.0,2.476,area_error
1232,7468.9,3100.0,0.0,3100.0,2.4093225806451612,area_error
1233,3240.7,3500.0,0.0,3500.0,0.9259142857142857,placement
1234,5922.5,6000.0,0.0,6000.0,0.9870833333333333,placement
1235,4880.0,5100.0,0.0,5100.0,0.9568627450980393,placement
1236,1515.3,1200.0,0.0,1200.0,1.26275,uncertain
1237,1420.8,1300.0,0.0,1300.0,1.0929230769230769,placement
1238,2808.8,3000.0,0.0,3000.0,0.9362666666666667,placement
1239,4837.7,5400.0,0.0,5400.0,0.8958703703703703,placement
124,10554.6,7700.0,1300.0,9000.0,1.1727333333333334,placement
1240,7241.9,5700.0,0.0,5700.0,1.2705087719298245,uncertain
1241,20097.3,21100.0,0.0,21100.0,0.9524786729857819,placement
1242,1195.4,25500.0,500.0,26000.0,0.04597692307692308,area_error
1243,1406.5,2700.0,0.0,2700.0,0.5209259259259259,area_error
1244,3701.1,3600.0,0.0,3600.0,1.0280833333333332,placement
1245,6580.2,5200.0,0.0,5200.0,1.265423076923077,uncertain
1247,18012.1,17500.0,0.0,17500.0,1.029262857142857,placement
1248,9663.7,13300.0,100.0,13400.0,0.7211716417910449,uncertain
1249,195.9,200.0,0.0,200.0,0.9795,placement
125,21749.6,18500.0,6899.999999999999,25400.0,0.856283464566929,placement
1250,10491.2,14900.0,100.0,15000.0,0.6994133333333333,uncertain
1251,8681.2,9600.0,75.0,9675.0,0.89728165374677,placement
1252,9696.6,9600.0,0.0,9600.0,1.0100625,placement
1253,3357.6,3800.0,0.0,3800.0,0.883578947368421,placement
1254,4150.4,4300.0,0.0,4300.0,0.9652093023255813,placement
1255,2001.2,2800.0,0.0,2800.0,0.7147142857142857,uncertain
1256,2503.5,2700.0,0.0,2700.0,0.9272222222222222,placement
1257,23132.5,22000.0,0.0,22000.0,1.0514772727272728,placement
1258,8103.1,7800.0,0.0,7800.0,1.0388589743589745,placement
1259,32900.7,37900.0,700.0000000000001,38600.0,0.8523497409326424,placement
126,21510.0,21000.0,1400.0000000000002,22400.0,0.9602678571428571,placement
1260,12408.5,11900.0,200.0,12100.0,1.025495867768595,placement
1261,26361.9,24500.0,400.0,24900.0,1.058710843373494,placement
1262,21737.4,20400.0,200.0,20600.0,1.0552135922330097,placement
1263,3297.2,3600.0,100.0,3700.0,0.8911351351351351,placement
1264,6026.0,5400.0,300.0,5700.0,1.0571929824561404,placement
1265,6386.7,7600.0,0.0,7600.0,0.8403552631578947,placement
1266,8626.5,8300.0,100.0,8400.0,1.0269642857142858,placement
1267,10856.6,10200.0,0.0,10200.0,1.0643725490196079,placement
1268,9288.7,8600.0,200.0,8800.0,1.055534090909091,placement
1269,9887.8,10300.0,100.0,10400.0,0.95075,placement
127,10026.2,9200.0,0.0,9200.0,1.089804347826087,placement
1270,12359.9,10200.0,0.0,10200.0,1.2117549019607843,uncertain
1271,22587.8,23700.0,100.0,23800.0,0.9490672268907563,placement
1272,34670.3,31700.0,1000.0,32700.0,1.0602538226299696,placement
1273,24811.3,22500.0,0.0,22500.0,1.1027244444444444,placement
1274,20862.7,14400.0,1900.0,16300.0,1.279920245398773,uncertain
1275,14532.3,13900.0,1300.0,15200.0,0.9560723684210526,placement
1276,8390.2,8300.0,0.0,8300.0,1.0108674698795181,placement
1277,7952.2,8900.0,0.0,8900.0,0.893505617977528,placement
1278,17456.0,18700.0,100.0,18800.0,0.9285106382978724,placement
1279,17836.4,18500.0,200.0,18700.0,0.9538181818181819,placement
128,16233.2,16600.0,700.0000000000001,17300.0,0.938335260115607,placement
1280,11294.0,11500.0,100.0,11600.0,0.9736206896551725,placement
1281,11813.5,12000.0,100.0,12100.0,0.9763223140495868,placement
1282,18528.1,14800.0,2000.0,16800.0,1.1028630952380951,placement
1283,17528.7,14900.0,1600.0,16500.0,1.0623454545454545,placement
1284,8638.7,7700.0,900.0,8600.0,1.0045000000000002,placement
1285,5197.3,7700.0,500.0,8200.0,0.6338170731707318,uncertain
1286,10167.2,10400.0,900.0,11300.0,0.8997522123893806,placement
1287,11816.5,24700.0,3200.0,27900.0,0.4235304659498208,area_error
1288,9472.7,9600.0,100.0,9700.0,0.9765670103092784,placement
1289,13817.5,13600.0,100.0,13700.0,1.0085766423357665,placement
129,16769.2,18300.0,0.0,18300.0,0.9163497267759563,placement
1290,10643.2,10200.0,0.0,10200.0,1.043450980392157,placement
1291,11789.9,11900.0,400.0,12300.0,0.9585284552845528,placement
1292,39152.3,29700.0,0.0,29700.0,1.3182592592592595,uncertain
1293,25679.8,29700.0,0.0,29700.0,0.8646397306397307,placement
1294,26625.4,36700.0,800.0,37500.0,0.7100106666666667,uncertain
1295,12679.2,8200.0,0.0,8200.0,1.5462439024390244,area_error
1296,14633.6,12100.0,0.0,12100.0,1.209388429752066,uncertain
1297,14611.8,11900.0,0.0,11900.0,1.2278823529411764,uncertain
1298,10640.8,12300.0,1900.0,14200.0,0.7493521126760563,uncertain
1299,12942.6,13100.0,0.0,13100.0,0.9879847328244276,placement
13,21045.2,21500.0,100.0,21600.0,0.9743148148148149,placement
130,7793.6,4700.0,0.0,4700.0,1.6582127659574468,area_error
1300,12536.8,10800.0,0.0,10800.0,1.1608148148148147,placement
1301,17310.3,17600.0,0.0,17600.0,0.9835397727272727,placement
1302,28373.0,25800.0,0.0,25800.0,1.0997286821705425,placement
1303,8846.1,9900.0,300.0,10200.0,0.8672647058823529,placement
1304,10159.4,12100.0,0.0,12100.0,0.8396198347107438,placement
1305,15555.0,15200.0,0.0,15200.0,1.0233552631578948,placement
1306,11363.7,12200.0,0.0,12200.0,0.9314508196721312,placement
1307,32339.6,26000.0,0.0,26000.0,1.243830769230769,uncertain
1308,31798.8,30800.0,800.0,31600.0,1.0062911392405063,placement
1309,34238.1,25800.0,0.0,25800.0,1.3270581395348837,uncertain
131,3134.0,4500.0,0.0,4500.0,0.6964444444444444,uncertain
1310,30348.8,24500.0,0.0,24500.0,1.2387265306122448,uncertain
1311,24828.0,25400.0,100.0,25500.0,0.9736470588235294,placement
1312,24058.9,26800.0,0.0,26800.0,0.8977201492537314,placement
1313,22925.4,24200.0,100.0,24300.0,0.9434320987654321,placement
1314,104121.3,103700.0,700.0000000000001,104400.0,0.9973304597701149,placement
1315,23608.8,28200.0,0.0,28200.0,0.8371914893617021,placement
1316,31798.7,31500.0,500.0,32000.0,0.993709375,placement
1317,36853.0,34400.0,600.0,35000.0,1.0529428571428572,placement
1318/A,11573.0,82000.0,1900.0,83900.0,0.13793802145411205,area_error
1318/B,100247.4,82000.0,1900.0,83900.0,1.1948438617401669,placement
1319,19057.5,16400.0,0.0,16400.0,1.1620426829268293,placement
132,8584.3,7800.0,400.0,8200.0,1.0468658536585365,placement
1320,15348.7,12600.0,900.0,13500.0,1.1369407407407408,placement
1321,10627.2,11400.0,0.0,11400.0,0.9322105263157895,placement
1322,8893.1,5900.0,0.0,5900.0,1.5073050847457627,area_error
1323,14913.3,10700.0,0.0,10700.0,1.3937663551401869,uncertain
1324,39283.1,41500.0,0.0,41500.0,0.9465807228915663,placement
1325,20332.3,18400.0,0.0,18400.0,1.105016304347826,placement
1326,20568.7,15500.0,3800.0,19300.0,1.065735751295337,placement
1327,21246.3,15600.0,850.0000000000001,16450.0,1.2915683890577507,uncertain
1328,16400.4,17000.0,400.0,17400.0,0.9425517241379311,placement
1329,10321.5,9200.0,0.0,9200.0,1.1219021739130435,placement
133,18981.2,20000.0,4300.0,24300.0,0.781119341563786,uncertain
1330,10181.4,9100.0,0.0,9100.0,1.1188351648351649,placement
1331,18092.3,17800.0,400.0,18200.0,0.9940824175824176,placement
1332,21652.4,20600.0,100.0,20700.0,1.0460096618357488,placement
1333,5427.1,4900.0,0.0,4900.0,1.1075714285714287,placement
1334,3864.7,4700.0,0.0,4700.0,0.8222765957446808,placement
1335,6685.4,4000.0,0.0,4000.0,1.67135,area_error
1336,14792.8,15800.0,100.0,15900.0,0.9303647798742138,placement
1337,15142.2,18600.0,0.0,18600.0,0.8140967741935484,placement
1338/A,9301.9,19200.0,0.0,19200.0,0.4844739583333333,area_error
1338/B,8852.4,19200.0,0.0,19200.0,0.4610625,area_error
1339,74946.5,60700.0,700.0000000000001,61400.0,1.2206270358306188,uncertain
134,7410.7,5400.0,0.0,5400.0,1.3723518518518518,uncertain
1340,43778.5,30100.0,1400.0000000000002,31500.0,1.3897936507936508,uncertain
1341,40981.3,33200.0,1900.0,35100.0,1.1675584045584046,placement
1342,564.9,600.0,0.0,600.0,0.9415,placement
1349,1505.4,1400.0,0.0,1400.0,1.0752857142857144,placement
135,12794.1,4900.0,2700.0,7600.0,1.6834342105263158,area_error
1354,26535.6,22400.0,1200.0,23600.0,1.1243898305084745,placement
1355,26549.6,22300.0,2500.0,24800.0,1.0705483870967742,placement
1356,33313.6,32600.0,0.0,32600.0,1.0218895705521471,placement
1357,23823.1,14800.0,900.0,15700.0,1.5173949044585986,area_error
1358,8593.6,8800.0,400.0,9200.0,0.9340869565217391,placement
1359,6561.3,8500.0,500.0,9000.0,0.7290333333333333,uncertain
136,41270.3,35300.0,9900.0,45200.0,0.9130597345132744,placement
1360,17745.7,14900.0,3400.0000000000005,18300.0,0.9697103825136613,placement
1361,13789.7,15300.0,0.0,15300.0,0.9012875816993464,placement
1362,18331.2,18100.0,0.0,18100.0,1.0127734806629836,placement
1363,55753.9,43100.0,0.0,43100.0,1.2935939675174015,uncertain
1364,22344.0,18500.0,0.0,18500.0,1.2077837837837837,uncertain
1365,11057.1,18400.0,200.0,18600.0,0.5944677419354839,area_error
1366,25927.3,13900.0,1000.0,14900.0,1.7400872483221477,area_error
1367,228927.1,181900.0,9100.0,191000.0,1.1985712041884817,placement
1368,24003.9,17200.0,900.0,18100.0,1.3261823204419891,uncertain
1369,40658.2,40000.0,300.0,40300.0,1.0088883374689825,placement
137,26141.3,25400.0,0.0,25400.0,1.0291850393700788,placement
1370,50258.7,53200.0,1300.0,54500.0,0.9221779816513761,placement
1371,51389.5,54600.0,0.0,54600.0,0.9411996336996337,placement
1372,10877.7,10700.0,0.0,10700.0,1.016607476635514,placement
1373,9588.2,8600.0,50.0,8650.0,1.1084624277456647,placement
1374,18641.8,23700.0,1200.0,24900.0,0.7486666666666666,uncertain
1375,695.6,0.0,500.0,500.0,1.3912,uncertain
